City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
178,Jiddah,MY,2020-05-10 20:48:03,1.48,103.39,79.0,94,20,2.93,few clouds,0.0,0.0
179,Barcelos,PT,2020-05-10 20:48:03,41.54,-8.62,59.0,87,40,9.17,scattered clouds,0.0,0.0
180,Bom Jesus,BR,2020-05-10 20:48:03,-9.07,-44.36,75.43,81,97,3.13,overcast clouds,0.0,0.0
181,Westport,US,2020-05-10 20:48:03,41.14,-73.36,63.0,36,1,19.46,clear sky,0.0,0.0
182,Alugan,PH,2020-05-10 20:48:04,12.22,125.48,81.41,84,100,8.72,overcast clouds,0.0,0.0
183,Kadykchan,PH,2020-05-10 20:48:04,12.22,125.48,81.41,84,100,8.72,overcast clouds,0.0,0.0
184,Cape Town,ZA,2020-05-10 20:47:51,-33.93,18.42,61.0,100,0,3.36,clear sky,0.0,0.0
185,Chapais,CA,2020-05-10 20:48:04,49.78,-74.85,32.0,98,90,18.34,light snow,0.0,0.0
186,Guozhen,CN,2020-05-10 20:48:04,34.37,107.36,54.48,41,76,3.98,broken clouds,0.0,0.0
187,Leshukonskoye,RU,2020-05-10 20:48:04,64.9,45.76,34.09,95,0,4.63,clear sky,0.0,0.0
188,Vila Franca Do Campo,PT,2020-05-10 20:48:04,37.72,-25.43,60.8,72,40,13.87,scattered clouds,0.0,0.0
189,Mount Isa,AU,2020-05-10 20:48:04,-20.73,139.5,57.2,30,0,10.29,clear sky,0.0,0.0
190,Amderma,AU,2020-05-10 20:48:04,-20.73,139.5,57.2,30,0,10.29,clear sky,0.0,0.0
191,New Norfolk,AU,2020-05-10 20:48:04,-42.78,147.06,48.99,85,73,1.99,broken clouds,0.0,0.0
192,Kribi,CM,2020-05-10 20:48:05,2.95,9.92,79.59,85,100,9.15,moderate rain,0.0,0.0
193,Santiago,CL,2020-05-10 20:46:48,-33.46,-70.65,66.2,52,0,5.82,clear sky,0.0,0.0
194,Labytnangi,RU,2020-05-10 20:48:05,66.66,66.42,32.97,96,100,2.46,light rain,0.0,0.0
195,Baie-Comeau,CA,2020-05-10 20:44:57,49.22,-68.15,42.8,41,90,18.34,overcast clouds,0.0,0.0
196,Tuburan,PH,2020-05-10 20:48:05,6.64,122.27,82.94,76,92,5.17,light rain,0.0,0.0
197,Bonthe,SL,2020-05-10 20:48:05,7.53,-12.51,80.74,82,77,8.16,broken clouds,0.0,0.0
