City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
409,San Quintin,30.48,-115.95,68.13,69,26,10.58,MX,2020-05-10 20:48:32,scattered clouds,0.0,0.0
410,Changying,52.87,123.32,33.82,88,100,3.78,CN,2020-05-10 20:48:32,overcast clouds,0.0,0.0
411,Thessalon,46.25,-83.57,44.6,48,1,6.93,CA,2020-05-10 20:48:32,clear sky,0.0,0.0
412,Iguape,-24.71,-47.56,70.3,75,0,11.72,BR,2020-05-10 20:48:32,clear sky,0.0,0.0
413,Paamiut,61.99,-49.67,44.53,71,65,24.94,GL,2020-05-10 20:48:32,broken clouds,0.0,0.0
414,Minden,52.28,8.92,51.8,76,100,11.41,DE,2020-05-10 20:47:05,light rain,0.0,0.0
415,Pleasanton,37.66,-121.87,75.99,43,1,14.99,US,2020-05-10 20:46:03,clear sky,0.0,0.0
416,Lodja,-3.48,23.43,73.38,82,89,1.3,CD,2020-05-10 20:48:32,overcast clouds,0.0,0.0
417,Margate,51.38,1.39,48.0,73,100,33.53,GB,2020-05-10 20:48:33,overcast clouds,0.0,0.0
418,Baykit,61.67,96.37,42.06,63,74,4.0,RU,2020-05-10 20:48:33,broken clouds,0.0,0.0
419,Tumannyy,61.67,96.37,42.06,63,74,4.0,RU,2020-05-10 20:48:33,broken clouds,0.0,0.0
420,Nhulunbuy,-12.23,136.77,80.6,65,100,10.29,AU,2020-05-10 20:48:33,overcast clouds,0.0,0.0
421,Impfondo,1.64,18.07,73.74,94,97,4.45,CG,2020-05-10 20:48:33,overcast clouds,0.0,0.0
422,Marawi,8.0,124.29,78.01,89,30,5.01,PH,2020-05-10 20:48:33,scattered clouds,0.0,0.0
423,Slavsk,55.04,21.68,52.23,84,100,8.66,RU,2020-05-10 20:48:34,overcast clouds,0.0,0.0
424,Kamenka,51.32,42.77,46.99,91,100,13.0,RU,2020-05-10 20:48:34,light rain,0.0,0.0
425,Iisalmi,63.56,27.19,51.8,32,100,18.34,FI,2020-05-10 20:48:34,light rain,0.0,0.0
426,Geraldton,-28.77,114.6,53.6,76,0,1.12,AU,2020-05-10 20:48:34,clear sky,0.0,0.0
